"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.202759514132322,0.162684126025484,0.8715,0.9255,4.58785135752027
512,2,0.190919270603206,0.1526650347263,0.862,0.922,4.31989778740282
512,4,0.183666830314359,0.147137750489951,0.8605,0.922,4.15589816698095
512,8,0.1795540239948,0.14378011410397,0.8645,0.9255,4.06279355517159
1024,1,0.139256305701959,0.111645838268254,0.883,0.937,4.45587536586566
1024,2,0.13068610799063,0.104733431006262,0.877,0.935,4.18177295487967
1024,4,0.125801208669333,0.100956914589964,0.8745,0.933,4.02546795070677
1024,8,0.124227186926314,0.0996998098457819,0.8715,0.9355,3.9749918622806
2048,1,0.101679960121131,0.0810124164604779,0.8785,0.9355,4.60006429866972
2048,2,0.0950522192603352,0.0753003950976593,0.871,0.9285,4.30097617598223
2048,4,0.0918823972304733,0.0724039489581831,0.869,0.923,4.15750067218355
2048,8,0.0901567773576072,0.0709757691834257,0.8645,0.92,4.07976618052312
4096,1,0.0696408652578493,0.0553588197323565,0.883,0.944,4.4569738900302
4096,2,0.0648769559508907,0.0517945928681396,0.886,0.938,4.15212266317286
4096,4,0.0624199045669998,0.0498658094746077,0.8905,0.9385,3.99479310514735
4096,8,0.0614613723119407,0.0491298296937682,0.886,0.939,3.9334710089775
4096,16,0.0609158186985431,0.0486776829901376,0.889,0.9375,3.89858950664673
8192,1,0.0493790483089883,0.0397120253935248,0.89,0.9475,4.46926799659982
8192,2,0.0466925052652752,0.0373645877868135,0.879,0.936,4.22604433861901
8192,4,0.0449486823515951,0.0357452165705542,0.869,0.9325,4.06811708675802
8192,8,0.0441424473580722,0.0350374433175974,0.872,0.932,3.99478781496639
8192,16,0.0438066754281941,0.0348415392328219,0.8705,0.9335,3.96430657634193
16384,1,0.0353571946200997,0.0284720167775011,0.893,0.9375,4.52328740179968
16384,2,0.0333588897861735,0.0267426762181046,0.8775,0.935,4.26856114569451
16384,4,0.0320089651293602,0.0255483453455626,0.88,0.935,4.09612158266805
16384,8,0.031440615170448,0.0250618587397528,0.8705,0.937,4.02354034312209
16384,16,0.0312378793373583,0.0249702346881307,0.8705,0.936,3.99794415739216
