"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.205076204151062,0.160392772553633,0.874,0.9305,4.64029900894291
512,2,0.190283752429943,0.150338953999321,0.8665,0.9275,4.30560931716993
512,4,0.183691972041975,0.144722632987243,0.865,0.9245,4.15622797092586
512,8,0.179869829187748,0.142872031194707,0.865,0.927,4.0695882260801
1024,1,0.139112555627943,0.109634488383659,0.8805,0.9295,4.45159890246969
1024,2,0.131669484778741,0.104591532319705,0.8815,0.9385,4.21335197355582
1024,4,0.126529231953207,0.100834929667479,0.8815,0.9375,4.04866600617452
1024,8,0.125172843518648,0.099405491434078,0.878,0.934,4.00511993232344
2048,1,0.0991237141726672,0.0793779142734818,0.8835,0.9355,4.48483131534355
2048,2,0.0920755544386555,0.0736167677810116,0.8885,0.943,4.16634954046993
2048,4,0.0883891647416805,0.0700002463470334,0.879,0.942,3.99960711070585
2048,8,0.0873506445923452,0.0690549584855531,0.8825,0.938,3.95258493894197
4096,1,0.0707947244982732,0.056147881013076,0.879,0.9335,4.52990595761896
4096,2,0.0668630135249573,0.0532875030313711,0.8745,0.93,4.27856042119454
4096,4,0.0642265865382086,0.0516551923691673,0.868,0.93,4.10952876293158
4096,8,0.0630294672557658,0.0505034083444371,0.8715,0.93,4.0325996217663
4096,16,0.0623853077549289,0.0500848978875231,0.867,0.93,3.99121030986829
8192,1,0.0509685103592206,0.0405397741839253,0.875,0.933,4.61242672163799
8192,2,0.0475149106167427,0.037860789860996,0.872,0.9295,4.29924128676026
8192,4,0.0462325084806095,0.0367695065607104,0.872,0.928,4.1831730240094
8192,8,0.0455483895262471,0.0361881394106702,0.871,0.922,4.12151944979925
8192,16,0.0451510223226859,0.0358191034443819,0.8685,0.9215,4.08598685849483
16384,1,0.0349110928903762,0.0280176790052278,0.886,0.939,4.46595060517974
16384,2,0.032609856454041,0.0261130507519145,0.878,0.9395,4.17204913248667
16384,4,0.0314300075988926,0.0252064466442085,0.878,0.9415,4.02080002042783
16384,8,0.0307300021010049,0.0246816647366904,0.8845,0.9415,3.93069428923932
16384,16,0.0304617250516349,0.0244956665381126,0.879,0.944,3.89634055039358
