"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.215280547403933,0.158590374818094,0.8835,0.94,4.87033899041914
512,2,0.194115359869044,0.149900084697218,0.874,0.9295,4.3894025301509
512,4,0.180378763885562,0.144135565875854,0.874,0.9345,4.07918047948606
512,8,0.176888757738472,0.141023235482678,0.871,0.9315,3.99989000665681
1024,1,0.141669948575994,0.1125478909302,0.8795,0.9365,4.53332824231024
1024,2,0.13204171859377,0.104842287186414,0.882,0.9335,4.22523843029693
1024,4,0.127257275320794,0.101531035430478,0.883,0.9395,4.07219893568322
1024,8,0.12492568699122,0.0996842757065898,0.8875,0.9405,3.99760473562098
2048,1,0.100431770315283,0.0802988903685428,0.882,0.9355,4.54498312377484
2048,2,0.094752995895917,0.0753093301593533,0.8705,0.93,4.28778781389838
2048,4,0.0911622706210498,0.0727111427633893,0.873,0.9305,4.12542341823497
2048,8,0.0893182798416643,0.0715670096066849,0.8825,0.934,4.04198938038793
4096,1,0.0718940508375911,0.0576310628433292,0.877,0.9375,4.60037259818301
4096,2,0.068338180964322,0.0544400066520781,0.873,0.9315,4.37296908317709
4096,4,0.0656433357166318,0.0522922541901276,0.871,0.9265,4.19967774820575
4096,8,0.0641391952786268,0.051068304779125,0.877,0.931,4.10399975006495
4096,16,0.0636919681601899,0.0508331241320841,0.8695,0.9305,4.07472752211111
8192,1,0.0482698498048994,0.0387232663362403,0.8885,0.945,4.36877374117899
8192,2,0.0461782828706739,0.0368641195229635,0.8895,0.936,4.17949767834791
8192,4,0.0444423037614728,0.0354635133169815,0.8895,0.9335,4.02242141026276
8192,8,0.0437220502660181,0.0348964278233079,0.8825,0.9345,3.9570695648702
8192,16,0.0434942898975796,0.0346179806524581,0.8775,0.9335,3.93658243773798
16384,1,0.034927277381656,0.0279399687776721,0.886,0.939,4.47052230291955
16384,2,0.0329665979604203,0.0262880708290724,0.882,0.9355,4.21970854668522
16384,4,0.0320748296685156,0.0256677438828677,0.883,0.935,4.10554425138407
16384,8,0.0314604878685945,0.0251777640227436,0.881,0.9315,4.02693844216457
16384,16,0.0312268897706885,0.0249657830917766,0.8725,0.9305,3.99704112486682
