"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.203968943655381,0.158918896267421,0.8855,0.9415,4.61447159441053
512,2,0.18666311885465,0.150126526946335,0.8805,0.938,4.22282880459887
512,4,0.180511110310839,0.145928860166401,0.874,0.9355,4.08366234203996
512,8,0.177572355529147,0.143001722220576,0.876,0.937,4.01714184611452
1024,1,0.148513502641344,0.118769873576778,0.8545,0.915,4.75235874634118
1024,2,0.139947839046998,0.111987526974436,0.852,0.9175,4.47817720867089
1024,4,0.134392722628986,0.107855274086386,0.8555,0.916,4.30054896468232
1024,8,0.131899344296159,0.105878891338196,0.8515,0.914,4.22068626152957
2048,1,0.101924460370518,0.0812680045299694,0.875,0.9345,4.61197140682164
2048,2,0.0951525660516428,0.0764178121564255,0.872,0.93,4.30537648316976
2048,4,0.0922028494165312,0.0742704541643774,0.8635,0.9265,4.17238379077421
2048,8,0.0903583958257079,0.0725355110394167,0.862,0.9245,4.08896440204936
4096,1,0.0704458614432311,0.0564470429034551,0.8815,0.933,4.50839776497368
4096,2,0.0663298769567655,0.0532831048668631,0.876,0.934,4.24497922167109
4096,4,0.0645888025936522,0.0520990540259128,0.8765,0.9245,4.13301757571675
4096,8,0.0633624628141656,0.0509989860428834,0.8715,0.929,4.05451480968504
4096,16,0.0626456531250292,0.0504505232929032,0.869,0.933,4.00898585516569
8192,1,0.0505471510086883,0.0402458533008812,0.871,0.93,4.57483963882835
8192,2,0.0472644870470914,0.0377376324686139,0.8695,0.9385,4.2778716723392
8192,4,0.0458070629605144,0.0365400112900242,0.871,0.9315,4.1459553553581
8192,8,0.0452983833511069,0.036234322697418,0.8715,0.9305,4.0999147194947
8192,16,0.0448123132276326,0.0357673739903854,0.8695,0.9285,4.05588802746047
16384,1,0.0355527361774098,0.0284508226684681,0.8765,0.9385,4.54974979246799
16384,2,0.0335301165060059,0.0270523531639036,0.873,0.9325,4.28974766126109
16384,4,0.0322065278080395,0.0260539344708586,0.8695,0.9345,4.12090607925275
16384,8,0.0318372593546619,0.0257869103395423,0.868,0.9365,4.07390837179894
16384,16,0.0316063613905863,0.0255334653344723,0.8675,0.9325,4.04450349856419
