"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.205817450458444,0.16226729064156,0.866,0.9255,4.65706279914378
512,2,0.194570579171418,0.152512724948798,0.8635,0.919,4.40259155524833
512,4,0.186539519434136,0.146309647338652,0.855,0.9185,4.22021939145118
512,8,0.182605516392474,0.143428481325733,0.8555,0.9175,4.13161094232648
1024,1,0.139900550052412,0.110590934045764,0.885,0.935,4.4767530514554
1024,2,0.131554176627059,0.103943346782349,0.882,0.933,4.20923489178435
1024,4,0.126507292923122,0.100231220051401,0.8825,0.9365,4.04793361757631
1024,8,0.124041608617754,0.0981908706839066,0.882,0.934,3.96824819452235
2048,1,0.102214258388896,0.0821492356285265,0.8745,0.9255,4.62434328073342
2048,2,0.0965887063970173,0.0771292715087849,0.8655,0.9255,4.3707449047085
2048,4,0.0938564256191649,0.0749280106422094,0.861,0.919,4.24701789249887
2048,8,0.0918597900605962,0.0735449844246541,0.8655,0.921,4.15669500997548
4096,1,0.0689243408912322,0.0551647246423714,0.8875,0.943,4.40710031826226
4096,2,0.0652831753529976,0.0519569771576397,0.8815,0.932,4.17534081589358
4096,4,0.0631994842494289,0.0506017037271259,0.88,0.939,4.04093536956835
4096,8,0.0621561021289298,0.0496464104403191,0.877,0.9365,3.97405659767071
4096,16,0.061644206011229,0.0493512928115741,0.8825,0.9375,3.9419003214682
8192,1,0.0500444837115335,0.0396432567217432,0.876,0.9315,4.52905583273268
8192,2,0.0472290289935307,0.0373960469187104,0.876,0.9265,4.27458685170507
8192,4,0.0456001519746141,0.0360085983154947,0.8675,0.93,4.12718743109723
8192,8,0.044837796172906,0.0351501416506255,0.8645,0.9245,4.05768472316421
8192,16,0.0442596863823054,0.0346739097367248,0.868,0.9275,4.00530971205244
16384,1,0.0347629371521682,0.0277136404971014,0.8915,0.939,4.44905412419124
16384,2,0.0327930650446206,0.026151826418484,0.8805,0.9375,4.19750904279772
16384,4,0.0317255624495478,0.0250973454968084,0.8755,0.928,4.06071566697189
16384,8,0.0310013728991927,0.024497781609912,0.873,0.933,3.96816644534993
16384,16,0.0306819683977838,0.0242032854917349,0.8685,0.9315,3.92729026141788
