"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.202557716285859,0.157024133784169,0.8805,0.936,4.58279958181908
512,2,0.186474262736174,0.147913185707254,0.89,0.9345,4.21855944715965
512,4,0.178910628419055,0.142047286643127,0.89,0.932,4.0471925968968
512,8,0.174619762207362,0.139066527412596,0.884,0.932,3.94939503755743
1024,1,0.138990566184416,0.111183445719219,0.8815,0.941,4.44723917275153
1024,2,0.129895827449696,0.10432964912914,0.8805,0.939,4.15552534921337
1024,4,0.125466780823826,0.100540552739448,0.877,0.938,4.01452667610555
1024,8,0.122954406740474,0.098169227007554,0.878,0.934,3.93429120670062
2048,1,0.101938178763242,0.0808245904176234,0.8735,0.9235,4.61306605915918
2048,2,0.0959917141965319,0.0762619943004766,0.861,0.919,4.34311375645126
2048,4,0.0922490544614451,0.0732683050118732,0.867,0.9235,4.17280823203912
2048,8,0.0905533432905093,0.0721022470318916,0.8595,0.9195,4.09626307057838
4096,1,0.0712841701036413,0.0567693140464697,0.873,0.927,4.56087492008448
4096,2,0.0675025410128109,0.0535694219426978,0.868,0.9285,4.31995234012301
4096,4,0.0649935383064165,0.0515938134473205,0.8665,0.9265,4.15928851782828
4096,8,0.0637943059297943,0.0505904255717277,0.864,0.9235,4.08259649427359
4096,16,0.0634881832952227,0.0503735986439345,0.861,0.9205,4.06316105180404
8192,1,0.0510326037959029,0.0405221540612817,0.8705,0.933,4.61634278970658
8192,2,0.0472931922533815,0.037518091140883,0.8695,0.932,4.27775717293388
8192,4,0.0453931287576523,0.0358687464889979,0.8775,0.9315,4.10672683861377
8192,8,0.0446717067080844,0.0353176179871742,0.8695,0.9285,4.04227788162954
8192,16,0.0442926747812039,0.0350482487536533,0.864,0.926,4.00800011213903
16384,1,0.0352939773695446,0.0280372892123933,0.8775,0.9395,4.51495959187142
16384,2,0.0332534068200954,0.0266500156314862,0.8825,0.9345,4.25376416635508
16384,4,0.032163554076885,0.0256166819795947,0.879,0.926,4.11303501875756
16384,8,0.0317500959765256,0.0252422653828314,0.8755,0.927,4.06043343396439
16384,16,0.031495768153983,0.02502667673729,0.8775,0.923,4.02695577783194
