"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.201104512738795,0.159514011462268,0.8695,0.9315,4.54996962736437
512,2,0.191854564061937,0.151531066640633,0.866,0.928,4.34098099860881
512,4,0.182261984053754,0.145355241887745,0.8695,0.9285,4.12410262824079
512,8,0.179599525103416,0.14299620576873,0.8715,0.927,4.06378983453526
1024,1,0.14310408361782,0.114418227515463,0.8755,0.931,4.57902044692805
1024,2,0.134566169534471,0.107213907186258,0.873,0.9305,4.3060342015419
1024,4,0.13061398714391,0.103893876285097,0.873,0.929,4.17951932539019
1024,8,0.12853613876899,0.102177315562369,0.8665,0.928,4.11310721290948
2048,1,0.100763675428483,0.081166148825527,0.885,0.9355,4.55861507920585
2048,2,0.0939029119071339,0.0750919221889233,0.8765,0.9335,4.24937651081619
2048,4,0.0914393883346798,0.0734545655899709,0.88,0.9335,4.13803341385643
2048,8,0.0900176981931731,0.0725872260175414,0.867,0.9345,4.07360018331827
4096,1,0.071356399714185,0.0573299507262786,0.884,0.937,4.56490041711402
4096,2,0.0665906097196971,0.053203637100523,0.889,0.94,4.26072090210973
4096,4,0.0646724629984245,0.0515426349547393,0.883,0.936,4.13752538960851
4096,8,0.0635349077753011,0.0506331258985315,0.8745,0.937,4.0647089479539
4096,16,0.0629325834246378,0.0500667024007497,0.8785,0.9365,4.02614918366725
8192,1,0.0511577549492693,0.0406001328326801,0.868,0.931,4.62306412793766
8192,2,0.0475795125971596,0.0378511092660648,0.875,0.931,4.30382385102336
8192,4,0.046243402519241,0.0367643256628317,0.869,0.926,4.18239684541
8192,8,0.0454988413008039,0.0360654172216868,0.866,0.9305,4.1153060877799
8192,16,0.0449959919871613,0.0355955044129094,0.867,0.925,4.06993884438354
16384,1,0.0353129762079792,0.0282371318514926,0.8785,0.9395,4.51886336781435
16384,2,0.0328591619670175,0.026284723702749,0.8815,0.939,4.20350296827693
16384,4,0.0315120249444132,0.0251215944603896,0.8785,0.936,4.03170317310956
16384,8,0.0308791545838932,0.0246310438930477,0.886,0.941,3.95112679533456
16384,16,0.0307402735623158,0.0244529322353687,0.8775,0.938,3.9337270632362
