"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.212100358779926,0.167719787922489,0.8725,0.938,4.79878449980085
512,2,0.192054849717131,0.156066113897639,0.875,0.9395,4.34520881422909
512,4,0.184006606660568,0.1491419592385,0.877,0.9375,4.16359080095441
512,8,0.181042394524813,0.146711654369491,0.872,0.9375,4.09647537196473
1024,1,0.141072219489909,0.113077508207537,0.8865,0.9375,4.51424862080528
1024,2,0.132635917312514,0.106810024481164,0.8825,0.9385,4.24434143181734
1024,4,0.129170116080054,0.103806759269485,0.874,0.9335,4.13303002383765
1024,8,0.12682464650176,0.101764234540385,0.8695,0.9375,4.05807423672739
2048,1,0.10012218437316,0.0799486697121841,0.878,0.9385,4.53081430746342
2048,2,0.0936561145933294,0.0746167169715614,0.8765,0.9365,4.23818459614755
2048,4,0.0915414872411723,0.0730124224186806,0.874,0.9315,4.14225774336153
2048,8,0.0894379923052288,0.0712090479643883,0.8755,0.931,4.0469063607737
4096,1,0.0698356296196118,0.0558431990232665,0.879,0.9405,4.46897638881403
4096,2,0.0661809689092018,0.0527518715905214,0.8775,0.9375,4.23556573682249
4096,4,0.0640753691755765,0.051142311509932,0.8795,0.93,4.10082275093441
4096,8,0.0631932253272944,0.0503227720748855,0.877,0.9265,4.04431549318837
4096,16,0.0625189842022942,0.0498990387189217,0.875,0.9265,4.00106338205895
8192,1,0.0497614481420644,0.0396204903781306,0.8815,0.9415,4.50357829744011
8192,2,0.0467649146207855,0.0371023204375526,0.8805,0.9315,4.2325879889603
8192,4,0.0454498972401749,0.036151088254223,0.875,0.937,4.11260562887509
8192,8,0.0442153794711138,0.0352592086405094,0.881,0.9345,4.00057530999969
8192,16,0.044006674759304,0.0350678205495579,0.8775,0.9335,3.98103369842083
16384,1,0.0353826587817208,0.0282482048351567,0.8825,0.9365,4.52444631347672
16384,2,0.0329830189866217,0.0264573560354016,0.882,0.94,4.21948655839325
16384,4,0.0321333053976771,0.0257430733160364,0.882,0.9355,4.10940708600546
16384,8,0.0316196964600215,0.0253657715185566,0.884,0.934,4.04377888383902
16384,16,0.0313757709309912,0.0251391672386977,0.878,0.935,4.01244279732482
