"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.203679548083929,0.159324674584374,0.877,0.9385,4.60859018679691
512,2,0.187303471645307,0.150618274000542,0.882,0.944,4.23813966117272
512,4,0.182724749689664,0.146940142258886,0.8705,0.9385,4.13377304531733
512,8,0.179922875545517,0.144661369591884,0.8735,0.9335,4.07071964659917
1024,1,0.139518016750777,0.111582286405024,0.8875,0.938,4.46388105532065
1024,2,0.131738034189984,0.10513103267327,0.8865,0.9375,4.21546695101059
1024,4,0.126979235152075,0.100491338349493,0.879,0.936,4.06293810854199
1024,8,0.125394961012406,0.0997385530810296,0.8785,0.9295,4.01206914488084
2048,1,0.101356569116906,0.0804884161881114,0.8735,0.935,4.58446602175513
2048,2,0.0957251104686251,0.0757511615590722,0.8665,0.928,4.32835761212781
2048,4,0.092555154057828,0.0737374988506236,0.8745,0.9275,4.18509618809381
2048,8,0.0911886485691202,0.072337411308983,0.8685,0.9305,4.12313047191946
4096,1,0.0687764405064374,0.0548039847700566,0.8895,0.943,4.40058284610346
4096,2,0.0649652821504764,0.0518936541601302,0.89,0.9405,4.15740999057499
4096,4,0.0626266839012739,0.0500313216072826,0.885,0.94,4.00803041194857
4096,8,0.06132503588331,0.0491962103892832,0.8855,0.941,3.92478572315714
4096,16,0.0611020657197095,0.0490741937035618,0.888,0.9405,3.91053006886249
8192,1,0.0506985194573756,0.0408901970573879,0.8835,0.939,4.58868909466965
8192,2,0.0482065662063646,0.0388064098526707,0.872,0.9265,4.36313355912028
8192,4,0.0465352756379959,0.0373690718416756,0.8705,0.929,4.2116663807578
8192,8,0.0455518187731625,0.0364286426776562,0.8725,0.932,4.12251469717689
8192,16,0.0451395163782087,0.0358831434023427,0.873,0.929,4.08511402226502
16384,1,0.0349972491426172,0.0278960013931944,0.882,0.943,4.47946557321937
16384,2,0.0329381336214134,0.0263600249203506,0.8865,0.944,4.21608098106126
16384,4,0.0319811910345036,0.0256183897024661,0.886,0.94,4.09351447240952
16384,8,0.0313240532860862,0.0251196585663114,0.8785,0.9385,4.00913585007642
16384,16,0.0311667458401605,0.0249493424039842,0.8795,0.94,3.98885388249532
