"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.203044819175404,0.16145685372054,0.8655,0.9235,4.59307244632701
512,2,0.188384961471501,0.149760259825921,0.867,0.9315,4.26155212764438
512,4,0.183053986133553,0.146332337080282,0.8645,0.9275,4.14116057217929
512,8,0.181020081537231,0.145022564911959,0.8575,0.926,4.09488077007515
1024,1,0.14409449351002,0.114482626370259,0.87,0.924,4.61100194964754
1024,2,0.135789471049781,0.108849203581859,0.8675,0.926,4.34526304960016
1024,4,0.131644800647876,0.105486382266031,0.8625,0.926,4.21261110469044
1024,8,0.129024014419077,0.102922038785273,0.8605,0.927,4.12872988785575
2048,1,0.0992812868816193,0.079548149972068,0.886,0.9405,4.48787627380207
2048,2,0.0923918877611235,0.0738289146856875,0.8815,0.9365,4.17833378218705
2048,4,0.0892564613955045,0.0712963953527671,0.8795,0.9345,4.03664064120797
2048,8,0.088048105401701,0.0702812162673593,0.8745,0.936,3.98161386009858
4096,1,0.0711141490581132,0.0572576071537776,0.8805,0.938,4.54895218600643
4096,2,0.0670864558607063,0.0544425557669059,0.8715,0.929,4.29036931470021
4096,4,0.0650702990835699,0.0525902730250746,0.8725,0.9315,4.16041859767403
4096,8,0.0637301371250374,0.0514074352696712,0.8695,0.932,4.07523207889794
4096,16,0.0631903352001344,0.0509080247353296,0.874,0.9325,4.04073625231418
8192,1,0.0498793708264863,0.0397354463925638,0.8885,0.939,4.5145524719125
8192,2,0.0472071536443852,0.0374692504069685,0.88,0.932,4.27243656483579
8192,4,0.045640836719728,0.0364081041376714,0.8805,0.9355,4.13032752000577
8192,8,0.0448394354385923,0.0358108366472063,0.876,0.934,4.05811598663252
8192,16,0.0445050825050788,0.0355673866733356,0.8725,0.927,4.02768839323305
16384,1,0.0348530063024002,0.0273201835852222,0.8805,0.9345,4.45817103412892
16384,2,0.0329690524324681,0.0260092384128875,0.8745,0.9305,4.21892615969859
16384,4,0.0315344171650727,0.0248291431480838,0.8715,0.935,4.03588432044153
16384,8,0.0309912366660737,0.0244039648959734,0.874,0.938,3.96648913713629
16384,16,0.0307227378708559,0.0242940281906492,0.883,0.9365,3.93195660925049
